Kingdom,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Infraorder,Subgenus
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Dendrobranchiata,NA, Palaemonidae, Palaemoninae, Palaemon, adspersus, Caridea,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Dendrobranchiata,NA, Palaemonidae, Palaemoninae, Palaemon, elegans, Caridea,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Dendrobranchiata,NA, Palaemonidae, Palaemoninae, Palaemon, longirostris, Caridea,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Dendrobranchiata,NA, Palaemonidae, Palaemoninae, Palaemon, serratus, Caridea,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Dendrobranchiata,NA, Palaemonidae, Palaemoninae, Palaemonetes, varians, Caridea,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Galatheidae, Galatheinae, Galathea, dispersa, Anomura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Galatheidae, Galatheinae, Galathea, intermedia, Anomura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Galatheidae, Galatheinae, Galathea, squamifera, Anomura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Galatheidae, Galatheinae, Galathea, strigosa, Anomura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Galatheidae, Galatheinae, Munida, rugosa, Anomura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Grapsidae, Grapsinae, Hemigrapsus, penicillatus, Brachyura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Grapsidae, Grapsinae, Pachygrapsus, transversus, Brachyura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Grapsidae, Grapsinae, Planes, minutus, Brachyura,NA
 Animalia, Arthropoda,NA, Crustacea, Malacostraca, Eucarida, Decapoda, Pleocyemata,NA, Grapsidae, Varuninae, Eriocheir, sinensis, Brachyura,NA
