"species","ecological_group","reassign"
"Abarenicola affinis",1,0
"Abarenicola affinis affinis",1,0
"Abarenicola affinis chilensis",1,0
"Abarenicola claparedei",1,0
"Abarenicola claparedi",1,0
"Abarenicola sp.",1,0
"Abietinaria abietina",2,0
"Abietinaria pulchra",2,0
"Abietinaria sp.",2,0
"Ablabesmyia annulata",4,0
"Ablabesmyia mallochi",4,0
"Ablabesmyia monilis",4,0
"Ablabesmyia sp.",4,0
"Abludomelita aculeata",3,0
"Abludomelita denticulata",1,0
"Abludomelita gladiosa",3,0
"Abludomelita obtusata",3,0
"Abra aequalis",1,0
"Abra alba",3,0
"Abra brasiliana",3,0
"Abra braziliensis",3,0
"Abra kinoshitai",2,0
"Abra lioica",3,0
"Abra longicallus",3,0
"Abra lunella",2,0
"Abra nitida",3,0
"Abra opalina",3,0
"Abra ovata",3,0
"Abra prismatica",1,0
"Abra profundorum",3,0
"Abra segmentum",3,0
"Abra sp.",3,1
"Abra tenuis",3,0
"Abranda casta",1,0
"Abrina lunella",2,0
"Abrina shiashkotanika",2,0
"Abrina skinoshitai",2,0
"Abrina sp.",2,0
"Abyssoninoe hibernica",1,0
"Abyssoninoe scopa",1,0
"Abyssoninoe scopa aequilobata",1,0
"Abyssoninoe sp.",1,0
"Acanthocardia aculeata",1,0
"Acanthocardia echinata",1,0
"Acanthocardia paucicostata",1,0
"Acanthocardia sp.",1,0
"Acanthocardia tuberculata",1,0
"Acanthochitona crinita",1,0
"Acanthochitona fascicularis",1,0
"Acanthochitona scutigera",1,0
"Acanthochitona violacea",1,0
"Acanthocythereis dunelmensis",1,0
"Acanthodoris hudsoni",1,0
"Acanthodoris pilosa",2,0
"Acanthodoris rhodoceras",1,0
"Acanthohaustorius intermedius",1,0
"Acanthohaustorius millsi",1,0
"Acanthohaustorius sp.",1,0
"Acanthomysis aspera",2,0
"Acanthomysis stelleri",2,0
"Acanthonotozoma sp.",0,0
"Acanthonyx lunulatus",1,0
"Acanthophiothrix armata",1,0
"Acanthopriapulus horridus",0,0
"Acanthoserolis schythei",0,0
"Acanthostepheia malmgreni",2,0
"Acar botanica",2,0
"Acaudina molpadioides",2,0
"Acaudina sp.",2,0
"Aceroides latipes",2,0
"Acetes chinensis",1,0
"Acetes indicus",1,0
"Acetes sp.",1,0
"Achaeus cranchii",1,0
"Achaeus gracilis",1,0
"Acharax japonica",3,0
"Acharax patagonica",3,0
"Achelia assimilis",1,0
"Achelia echinata",1,0
"Achelia franciscana",1,0
"Achelia hispida",1,0
"Achelia laevis",1,0
"Achelia langi",1,0
"Achelia longipes",1,0
"Achelia simplex",1,0
"Achelia simplissima",1,0
"Achelia sp.",1,0
"Achelia vulgaris",1,0
"Achelous gibbesii",1,0
"Achelous ordwayi",1,0
"Acidostoma hancocki",2,0
"Acidostoma nodiferum",1,0
"Acidostoma obesum",1,0
"Acidostoma sarsi",1,0
"Acidostoma sp.",1,1
"Acila castrensis",2,0
"Acila insignis",2,0
"Aclis gulsonae",1,0
"Aclis minor",1,0
"Aclis occidentalis",1,0
"Acmaea sp.",1,0
"Acmaea virginea",1,0
"Acmaeidae",1,0
"Acmira catherinae",2,0
"Acmira horikoshii",2,0
"Acmira lopezi",2,0
"Acmira simplex",2,0
"Acoetes jogasimae",1,0
"Acoetes melanonota",1,0
"Acrocirrus sp.",4,0
"Acrocirrus validus",4,0
"Acrocnida brachiata",1,0
"Acromegalomma bioculatum",2,0
"Acromegalomma lobiferum",2,0
"Acromegalomma pigmentum",2,0
"Acromegalomma quadrioculatum",2,0
"Acromegalomma sp.",2,1
"Acromegalomma splendidum",2,0
"Acromegalomma vesiculosum",1,0
"Acrosterigma magnum",2,0
"Actaeopyramis eximia",2,0
"Acteocina bidentata",2,0
"Acteocina bullata",1,0
"Acteocina canaliculata",1,0
"Acteocina candei",2,0
"Acteocina carinata",2,0
"Acteocina cerealis",2,0
"Acteocina conspicua",1,0
"Acteocina culcitella",2,0
"Acteocina eximia",2,0
"Acteocina harpa",2,0
"Acteocina inculta",2,0
"Acteocina infrequens",2,0
"Acteocina involuta",2,0
"Acteocina koyasensis",1,0
"Acteocina oryza",3,0
