,Phylum,Class,Flokkun,A7,B5,B8,C4,E3,E4,Year
2,Annelida,Clitellata,Tubificoidesbenedii,0,0,44,89,7956,1200,1999
3,Annelida,Polychaeta,Ampharetidae,44,178,44,178,622,0,1999
5,Annelida,Polychaeta,Apistobranchustullbergi,0,178,44,0,222,133,1999
6,Annelida,Polychaeta,Aricideasuecica,0,0,0,0,0,178,1999
7,Annelida,Polychaeta,Chaetozonesetosa,178,1733,311,89,267,222,1999
8,Annelida,Polychaeta,Cirratuluscirratus,0,0,0,0,44,0,1999
9,Annelida,Polychaeta,Cossuralongocirrata,44,0,1289,0,622,0,1999
10,Annelida,Polychaeta,Dodecaceriaconcharum,0,356,0,0,0,0,1999
11,Annelida,Polychaeta,Eteonelonga,44,0,89,0,133,44,1999
12,Annelida,Polychaeta,Heteromastusfiliformis,0,0,0,0,888,44,1999
13,Annelida,Polychaeta,Lanassavenusta,133,178,89,44,267,0,1999
14,Annelida,Polychaeta,Laphaniaboecki,0,0,0,0,44,44,1999
15,Annelida,Polychaeta,Levinseniagracilis,0,0,0,0,2489,89,1999
16,Annelida,Polychaeta,Lumbrinerissp,0,0,44,0,0,0,1999
17,Annelida,Polychaeta,Maldanesarsi,0,0,0,0,44,0,1999
19,Annelida,Polychaeta,Microphthalmusaberrans,0,356,0,0,0,0,1999
20,Annelida,Polychaeta,Myriocheleoculata,0,178,0,89,0,0,1999
21,Annelida,Polychaeta,Ophelinaacuminata,89,0,267,756,0,0,1999
22,Annelida,Polychaeta,Cistenidesgranulata,44,533,89,356,0,44,1999
23,Annelida,Polychaeta,Pholoeminuta,0,178,0,44,0,44,1999
24,Annelida,Polychaeta,Phyllodocemaculata,0,0,0,0,89,0,1999
25,Annelida,Polychaeta,Polydorasp,0,0,0,0,10000,1644,1999
26,Annelida,Polychaeta,Praxillellapraetermissa,89,178,133,0,889,222,1999
27,Annelida,Polychaeta,Pseudopotamillareniformis,0,0,0,0,44,0,1999
28,Annelida,Polychaeta,Scalibregmainflatum,89,2222,844,311,0,44,1999
29,Annelida,Polychaeta,Schistomeringosnigridentata,89,711,0,0,178,0,1999
30,Annelida,Polychaeta,Scoloplosarmiger,89,400,178,267,356,133,1999
31,Annelida,Polychaeta,Sphaerodoridae,0,0,0,0,44,0,1999
32,Annelida,Polychaeta,Spiosp,44,44,44,267,3733,177,1999
33,Annelida,Polychaeta,Sternaspisscutata,44,444,133,0,1156,178,1999
34,Annelida,Polychaeta,Sylliscornuta,0,0,0,0,311,0,1999
