Unnamed: 0,Phylum,Class,Flokkun,A7,B5,B8,C4,E3,E4,Year
2,Annelida,Clitellata,Tubificoides benedii,,,44,89,7956,1200,1999
3,Annelida,Polychaeta,Ampharetidae,44,178,44,178,622,,1999
5,Annelida,Polychaeta,Apistobranchus tullbergi,,178,44,,222,133,1999
6,Annelida,Polychaeta,Aricidea suecica,,,,,,178,1999
7,Annelida,Polychaeta,Chaetozone setosa,178,1733,311,89,267,222,1999
8,Annelida,Polychaeta,Cirratulus cirratus,,,,,44,,1999
9,Annelida,Polychaeta,Cossura longocirrata,44,,1289,,622,,1999
10,Annelida,Polychaeta,Dodecaceria concharum,,356,,,,,1999
11,Annelida,Polychaeta,Eteone longa,44,,89,,133,44,1999
12,Annelida,Polychaeta,Heteromastus filiformis,,,,,888,44,1999
13,Annelida,Polychaeta,Lanassa venusta,133,178,89,44,267,,1999
14,Annelida,Polychaeta,Laphania boecki,,,,,44,44,1999
15,Annelida,Polychaeta,Levinsenia gracilis,,,,,2489,89,1999
16,Annelida,Polychaeta,Lumbrineris sp.,,,44,,,,1999
17,Annelida,Polychaeta,Maldane sarsi,,,,,44,,1999
19,Annelida,Polychaeta,Microphthalmus aberrans,,356,,,,,1999
20,Annelida,Polychaeta,Myriochele oculata,,178,,89,,,1999
21,Annelida,Polychaeta,Ophelina acuminata,89,,267,756,,,1999
22,Annelida,Polychaeta,Cistenides granulata,44,533,89,356,,44,1999
23,Annelida,Polychaeta,Pholoe minuta,,178,,44,,44,1999
24,Annelida,Polychaeta,Phyllodoce maculata,,,,,89,,1999
25,Annelida,Polychaeta,Polydora sp.,,,,,10000,1644,1999
26,Annelida,Polychaeta,Praxillella praetermissa,89,178,133,,889,222,1999
27,Annelida,Polychaeta,Pseudopotamilla reniformis,,,,,44,,1999
28,Annelida,Polychaeta,Scalibregma inflatum,89,2222,844,311,,44,1999
29,Annelida,Polychaeta,Schistomeringos nigridentata,89,711,,,178,,1999
30,Annelida,Polychaeta,Scoloplos armiger,89,400,178,267,356,133,1999
31,Annelida,Polychaeta,Sphaerodoridae,,,,,44,,1999
32,Annelida,Polychaeta,Spio sp.,44,44,44,267,3733,177,1999
33,Annelida,Polychaeta,Sternaspis scutata,44,444,133,,1156,178,1999
34,Annelida,Polychaeta,Syllis cornuta,,,,,311,,1999
35,Annelida,Polychaeta,Syllis gracilis,,,89,,,44,1999
36,Annelida,Polychaeta,Terebellides stroemii,44,1111,133,,711,133,1999
37,Arthropoda,Malacostraca,Caprella septentrionalis,,,,89,,711,1999
38,Arthropoda,Malacostraca,Crassicorophium bonellii,,,,,356,89,1999
39,Arthropoda,Malacostraca,Cumacea,,,89,533,1200,44,1999
40,Arthropoda,Malacostraca,Munna sp.,,,,89,,,1999
41,Arthropoda,Malacostraca,Paroediceros lynceus,,,,133,356,,1999
42,Arthropoda,Malacostraca,Protomedeia fasciata,311,,933,222,44,,1999
43,Arthropoda,Ostracoda,Philomedes globosus,,,,89,133,,1999
44,Echinodermata,Ophiuroidea,Ophiuroidea,,44,,,,,1999
45,Mollusca,Bivalvia,Abra nitida,44,44,89,44,,,1999
46,Mollusca,Bivalvia,Arctica islandica,,178,400,,133,,1999
47,Mollusca,Bivalvia,Astarte sp.,,,,,178,,1999
48,Mollusca,Bivalvia,Crenella decussata,,,89,,44,,1999
49,Mollusca,Bivalvia,Ennucula tenuis,311,1422,1111,444,222,44,1999
50,Mollusca,Bivalvia,Leda pernula,,,133,,44,,1999
51,Mollusca,Bivalvia,Macoma calcarea,,444,133,311,1067,311,1999
52,Mollusca,Bivalvia,Musculus sp.,,,,178,,,1999
53,Mollusca,Bivalvia,Mytilus edulis,,889,133,1244,356,,1999
54,Mollusca,Bivalvia,Thracia villosiuscula,,,89,,,,1999
55,Mollusca,Bivalvia,Thyasira flexuosa,,178,,,178,,1999
56,Mollusca,Bivalvia,Yoldia hyperborea,,133,44,44,,,1999
57,Mollusca,Gastropoda,Buccinum undatum,,,44,,,,1999
58,Mollusca,Gastropoda,Onoba aculeus,,,,178,,,1999
59,Mollusca,Gastropoda,Retusa pertenuis,,,44,89,,,1999
60,Priapulida,,Priapulus caudatus,,178,,,44,,1999
2,Annelida,Clitellata,Tubificoides benedii,,,,67,,,2013
3,Annelida,Clitellata,Tubificoides kozloffi,,75,,75,133,,2013
4,Annelida,Polychaeta,Aricidea suecica,,,,141,67,,2013
5,Annelida,Polychaeta,Capitella capitata,200,10391,2859,7616,23974,21083,2013
6,Annelida,Polychaeta,Chaetozone setosa,,,,292,1000,,2013
7,Annelida,Polychaeta,Cossura longocirrata,,,,,8,,2013
8,Annelida,Polychaeta,Eteone longa,,,67,143,109,,2013
9,Annelida,Polychaeta,Eunoe nodosa,,,,83,50,,2013
10,Annelida,Polychaeta,Harmothoe extenuata,,,,201,208,,2013
11,Annelida,Polychaeta,Harmothoe imbricata,,,,8,,,2013
12,Annelida,Polychaeta,Levinsenia gracilis,,,,,8,,2013
13,Annelida,Polychaeta,Mediomastus fragilis,,,,67,,8,2013
14,Annelida,Polychaeta,Microphthalmus aberrans,,25,67,541,192,,2013
15,Annelida,Polychaeta,Praxillella praetermissa,,,,,50,,2013
16,Annelida,Polychaeta,Scoloplos armiger,,,,25,,,2013
17,Annelida,Polychaeta,Spio sp.,,25,,2159,841,8,2013
18,Arthropoda,Arachnida,Acarina,,67,,,17,,2013
19,Arthropoda,Malacostraca,Crassicorophium bonellii,,,,,8,,2013
20,Echinodermata,Ophiuroidea,Ophiuroidea,,,,,8,,2013
21,Mollusca,Bivalvia,Arctica islandica,,,,67,,,2013
23,Mollusca,Polyplacophora,Polyplacophora,,,,,67,,2013
1,Annelida,,Sipuncula,,,,8,,,2014
2,Annelida,Clitellata,Tubificoides benedii,,,,8,,,2014
3,Annelida,Clitellata,Tubificoides kozloffi,,8,,108,2699,1859,2014
4,Annelida,Polychaeta,Ampharetidae,,,,,8,,2014
5,Annelida,Polychaeta,Amphitrite cirrata,,,,,91,,2014
