Flokkun,N,skipting,ath
Acarina sp,,,
Ampharete acutifrons,,,
Ampharete sp,,,
Amphipoda sp,,,
amphipoda ungv.,,,
Amphitrite affinis,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Arenicola marina,,,
Aricidea suecica,,,
Ascidiacea sp,,,
Astartidae borealis,,,
Asteroidea,,,
Axionice maculata,,,
Bivalvia sp.,,,
Bivalvia ungv.,,,
Brada inhabilis,,,
Brada villosa,,,
Campanulariidae sp,,,
Capitella capitata,1,1,
Chaetozone setosa,,,
Cirratulus cirratus,,,
Copepoda sp,1,1,
Copepoda sp,4,8,
Corophium bonnellii,1,1,
Cossura longocirrata,,,
Crenella sp,,,
Cumacea sp,,,
Dodecaceria concharum,,,
egg/lirfur,,,
Eteone longa ath,5,1,
Eteone suecica ath,,,
Eunoe nodosa,,,
Eupolymnia nesidensis,,,
Exogone hebes,,,
Exogone verrugera,,,
Flabelligera affinis???,,,
Foraminifera,,,
Galathowenia oculata,,,
Gastropoda ungv,,,
Gattyana cirrosa,,,
Harmothoe extenuata,,,
Harmothoe imbricata,2,1,
Harmothoe sp,1,1,
Henricia sanguinolenta,,,
Heteromastus filiformis,,,
Hiatella arctica,,,
Hyas araneus,,,
Lanassa venusta,,,
Lepeta caeca,,,
Lepidonotus squamatus,,,
Levinsenia gracilis,,,
Macoma calcaria,1,1,
Macoma calcaria,2,8,
Maldanidae sp,,,
Mediomastus filiformis,,,
Mediomastus fragilis,,,
Microphthalmus aberrans,,,
Moelleria costulata,,,
Musculus,,,
Myriochele oculata,,,
Nematoda sp,13,1,
Nematoda sp,1,8,
Nemertea?,44,1,
Nemertea?,7,8,
Nephtiydae sp,,,
Nereimyra punctata,,,
Oligochaeta sp.,9,1,
Ophiuroidea sp,,,
Ophryotrocha cf Cosmetandra,,,
Orbiniidae sp,,,
Ostracoda sp,,,
Pectinaria granulata,4,1,
Philomedes globosus,,,
Pholoe sp,,,
Phyllodoce maculata,,,
Phyllodocidae sp,,,
Polycirrinae sp.,,,
Polynoida ungv.,5,1,
Polyplacophora sp,,,
Porifera sp,,,
Praxillella praetermissa,,,
Protomedeia fasciata,,,
Pycnogonida sp,,,
Rhodine gracilior,,,
Sabellida sp,,,
Scoloplos armiger,,,
Sphaerosyllis erinaceus,,,
Sphaerosyllis ungv.,,,
Spionidae sp.,2,1,
Sternapsis scutata,,,
Syllidae sp,,,
Syllis cornuta,,,
Terebellidae sp,,,
Tubicoides benedi,,,
Tubicoides kozloffi,7,1,
Tubicoides kozloffi,1,8,
Typosyllis armillaris,,,
