tegund/hópur,B5A,B5A*1/4,B5A*1/8
Acarina sp,,,1
Ampharete acutifrons,,,
Ampharete sp,,,
Amphipoda sp,,,
amphipoda ungv.,,,1
Amphitrite affinis,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Arenicola marina,,,
Aricidea suecica,,,
Ascidiacea sp,,,
Astartidae borealis,,,
Asteroidea,,,
Axionice maculata,,,
Bivalvia sp.,,,
Bivalvia ungv.,,,
Brada inhabilis,,,
Brada villosa,,,
Campanulariidae sp,,,
Capitella capitata,311,8,12
Chaetozone setosa,,,
Cirratulus cirratus,,,
Copepoda sp,3,,10
Corophium bonnellii,,,
Cossura longocirrata,,,
Crenella sp,,,
Cumacea sp,,,
Dodecaceria concharum,,,
egg/lirfur,,,
Eteone longa ath,,,
Eteone suecica ath,,,
Eunoe nodosa,,,
Eupolymnia nesidensis,,,
Exogone hebes,,,
Exogone verrugera,,,
Flabelligera affinis???,,,
Foraminifera,,,
Galathowenia oculata,,,
Gastropoda ungv,,,
Gattyana cirrosa,,,
Harmothoe extenuata,,,
Harmothoe imbricata,,,
Harmothoe sp,,,
Henricia sanguinolenta,,,
Heteromastus filiformis,,,
Hiatella arctica,,,
Hyas araneus,,,
Lanassa venusta,,,
Lepeta caeca,,,
Lepidonotus squamatus,,,
Levinsenia gracilis,,,
Macoma calcaria,,,
Maldanidae sp,,,
Mediomastus filiformis,,,
Mediomastus fragilis,,,
Microphthalmus aberrans,3,,
Moelleria costulata,,,
Musculus,,,
Myriochele oculata,,,
Nematoda sp,4,7,21
Nemertea?,,,
Nephtiydae sp,,,
Nereimyra punctata,,,
Oligochaeta sp.,,,
Ophiuroidea sp,,,
Ophryotrocha cf Cosmetandra,,,
Orbiniidae sp,,,
Ostracoda sp,1,,23
Pectinaria granulata,,,
Philomedes globosus,,,
Pholoe sp,,,
Phyllodoce maculata,,,
Phyllodocidae sp,,,
Polycirrinae sp.,,,
Polynoida ungv.,,,
Polyplacophora sp,,,
Porifera sp,,,
Praxillella praetermissa,,,
Protomedeia fasciata,,,
Pycnogonida sp,,,
Rhodine gracilior,,,
Sabellida sp,,,
Scoloplos armiger,,,
Sphaerosyllis erinaceus,,,
Sphaerosyllis ungv.,,,
Spionidae sp.,3,,
Sternapsis scutata,,,
Syllidae sp,,,
Syllis cornuta,,,
Terebellidae sp,,,
Tubicoides benedi,,,
Tubicoides kozloffi,1,,
Typosyllis armillaris,,,
