tegund/hópur,C4B*1/8,C4B
Acarina sp,,
Ampharete acutifrons,,
Ampharete sp,,
Amphipoda sp,,
amphipoda ungv.,,
Amphitrite affinis,,
Amphitrite cirrata,,
Arctica islandica,,
Arenicola marina,,
Aricidea suecica,,
Ascidiacea sp,,
Astartidae borealis,,
Asteroidea,,
Axionice maculata,,
Bivalvia sp.,,
Bivalvia ungv.,,
Brada inhabilis,,
Brada villosa,,
Campanulariidae sp,,
Capitella capitata,12,238
Chaetozone setosa,,
Cirratulus cirratus,,
Copepoda sp,,
Corophium bonnellii,,
Cossura longocirrata,,
Crenella sp,,
Cumacea sp,,
Dodecaceria concharum,,
egg/lirfur,,1
Eteone longa ath,,2
Eteone suecica ath,,
Eunoe nodosa,,
Eupolymnia nesidensis,,
Exogone hebes,,
Exogone verrugera,,
Flabelligera affinis???,,
Foraminifera,,
Galathowenia oculata,,
Gastropoda ungv,,
Gattyana cirrosa,,
Harmothoe extenuata,,2
Harmothoe imbricata,,1
Harmothoe sp,1,
Henricia sanguinolenta,,
Heteromastus filiformis,,
Hiatella arctica,,
Hyas araneus,,
Lanassa venusta,,
Lepeta caeca,,
Lepidonotus squamatus,,
Levinsenia gracilis,,
Macoma calcaria,,
Maldanidae sp,,
Mediomastus filiformis,,
Mediomastus fragilis,,
Microphthalmus aberrans,2,
Moelleria costulata,,
Musculus,,
Myriochele oculata,,
Nematoda sp,3,4
Nemertea?,,
Nephtiydae sp,,
Nereimyra punctata,,
Oligochaeta sp.,2,
Ophiuroidea sp,,
Ophryotrocha cf Cosmetandra,,
Orbiniidae sp,,
Ostracoda sp,,
Pectinaria granulata,,
Philomedes globosus,,
Pholoe sp,,
Phyllodoce maculata,,
Phyllodocidae sp,,
Polycirrinae sp.,,
Polynoida ungv.,,
Polyplacophora sp,,
Porifera sp,,
Praxillella praetermissa,,
Protomedeia fasciata,,
Pycnogonida sp,,
Rhodine gracilior,,
Sabellida sp,,
Scoloplos armiger,,
Sphaerosyllis erinaceus,,
Sphaerosyllis ungv.,,
Spionidae sp.,3,42
Sternapsis scutata,,
Syllidae sp,,
Syllis cornuta,,
Terebellidae sp,,
Tubicoides benedi,,
Tubicoides kozloffi,,
Typosyllis armillaris,,
