tegund/hópur,E3B*1/2,E3B
Acarina sp,,
Ampharete acutifrons,,
Ampharete sp,,
Amphipoda sp,,
amphipoda ungv.,,
Amphitrite affinis,,
Amphitrite cirrata,,
Arctica islandica,,
Arenicola marina,,
Aricidea suecica,,
Ascidiacea sp,,
Astartidae borealis,,
Asteroidea,,
Axionice maculata,,
Bivalvia sp.,,
Bivalvia ungv.,,
Brada inhabilis,,
Brada villosa,,
Campanulariidae sp,,
Capitella capitata,230,820
Chaetozone setosa,,1
Cirratulus cirratus,,
Copepoda sp,27,
Corophium bonnellii,,
Cossura longocirrata,,
Crenella sp,,
Cumacea sp,,
Dodecaceria concharum,,
egg/lirfur,,
Eteone longa ath,,3
Eteone suecica ath,,
Eunoe nodosa,,
Eupolymnia nesidensis,,
Exogone hebes,,
Exogone verrugera,,
Flabelligera affinis???,,
Foraminifera,,
Galathowenia oculata,,
Gastropoda ungv,,
Gattyana cirrosa,,
Harmothoe extenuata,,1
Harmothoe imbricata,,
Harmothoe sp,5,9
Henricia sanguinolenta,,
Heteromastus filiformis,,
Hiatella arctica,,
Hyas araneus,,
Lanassa venusta,,
Lepeta caeca,,
Lepidonotus squamatus,,
Levinsenia gracilis,,1
Macoma calcaria,,
Maldanidae sp,,
Mediomastus filiformis,,
Mediomastus fragilis,,
Microphthalmus aberrans,7,
Moelleria costulata,,
Musculus,,
Myriochele oculata,,
Nematoda sp,25,
Nemertea?,,
Nephtiydae sp,,
Nereimyra punctata,,
Oligochaeta sp.,19,3
Ophiuroidea sp,,
Ophryotrocha cf Cosmetandra,,
Orbiniidae sp,,
Ostracoda sp,,
Pectinaria granulata,,
Philomedes globosus,,
Pholoe sp,,
Phyllodoce maculata,,
Phyllodocidae sp,,
Polycirrinae sp.,,
Polynoida ungv.,,
Polyplacophora sp,,
Porifera sp,,
Praxillella praetermissa,,
Protomedeia fasciata,,
Pycnogonida sp,,
Rhodine gracilior,,
Sabellida sp,,
Scoloplos armiger,,
Sphaerosyllis erinaceus,,
Sphaerosyllis ungv.,,
Spionidae sp.,7,16
Sternapsis scutata,,
Syllidae sp,,
Syllis cornuta,,
Terebellidae sp,,
Tubicoides benedi,,
Tubicoides kozloffi,,
Typosyllis armillaris,,
