tegund/hópur,U1C*1/4,U1C*1/8,U1C
Acarina sp,,,
Ampharete acutifrons,,,
Ampharete sp,,,1
Amphipoda sp,,,1
amphipoda ungv.,1,,1
Amphitrite affinis,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Arenicola marina,,,1
Aricidea suecica,,,
Ascidiacea sp,,,
Astartidae borealis,,1,
Asteroidea,,,2
Axionice maculata,,,
Bivalvia sp.,,,
Bivalvia ungv.,,,
Brada inhabilis,,1,
Brada villosa,,,
Campanulariidae sp,,,
Capitella capitata,1,1,4
Chaetozone setosa,1,,3
Cirratulus cirratus,,,1
Copepoda sp,12,1,1
Corophium bonnellii,1,1,5
Cossura longocirrata,,,
Crenella sp,,,
Cumacea sp,1,,
Dodecaceria concharum,,,
egg/lirfur,x,,
Eteone longa ath,,,
Eteone suecica ath,,,
Eunoe nodosa,,,
Eupolymnia nesidensis,,,4
Exogone hebes,,,
Exogone verrugera,,,
Flabelligera affinis???,,,1
Foraminifera,,,
Galathowenia oculata,,,
Gastropoda ungv,,,
Gattyana cirrosa,,,
Harmothoe extenuata,,,2
Harmothoe imbricata,,,
Harmothoe sp,15,,8
Henricia sanguinolenta,,,
Heteromastus filiformis,,,
Hiatella arctica,,1,
Hyas araneus,,,
Lanassa venusta,,,
Lepeta caeca,,,
Lepidonotus squamatus,,,1
Levinsenia gracilis,,,
Macoma calcaria,,1,
Maldanidae sp,,,
Mediomastus filiformis,,,
Mediomastus fragilis,,,
Microphthalmus aberrans,,,
Moelleria costulata,,,
Musculus,,5,
Myriochele oculata,,,
Nematoda sp,,,
Nemertea?,5,1,
Nephtiydae sp,,,
Nereimyra punctata,,,1
Oligochaeta sp.,2,,
Ophiuroidea sp,,,2
Ophryotrocha cf Cosmetandra,,,
Orbiniidae sp,,,
Ostracoda sp,,,
Pectinaria granulata,,,4
Philomedes globosus,,,
Pholoe sp,,,
Phyllodoce maculata,,,1
Phyllodocidae sp,,,1
Polycirrinae sp.,,,
Polynoida ungv.,,,
Polyplacophora sp,,,5
Porifera sp,,,
Praxillella praetermissa,,,
Protomedeia fasciata,,,
Pycnogonida sp,,1,5
Rhodine gracilior,,,
Sabellida sp,,,
Scoloplos armiger,,,
Sphaerosyllis erinaceus,,,1
Sphaerosyllis ungv.,,,
Spionidae sp.,6,2,26
Sternapsis scutata,,,
Syllidae sp,3,3,
Syllis cornuta,,,
Terebellidae sp,,,
Tubicoides benedi,,,1
Tubicoides kozloffi,2,1,3
Typosyllis armillaris,,,
