tegund/hópur,U2A,U2A*1/8
Acarina sp,,
Ampharete acutifrons,,
Ampharete sp,,
Amphipoda sp,,
amphipoda ungv.,,
Amphitrite affinis,,
Amphitrite cirrata,,
Arctica islandica,,
Arenicola marina,,
Aricidea suecica,,
Ascidiacea sp,,
Astartidae borealis,,
Asteroidea,,
Axionice maculata,,
Bivalvia sp.,,
Bivalvia ungv.,,
Brada inhabilis,,
Brada villosa,1,
Campanulariidae sp,,
Capitella capitata,81,6
Chaetozone setosa,39,1
Cirratulus cirratus,,
Copepoda sp,,8
Corophium bonnellii,,
Cossura longocirrata,2,3
Crenella sp,,
Cumacea sp,,
Dodecaceria concharum,,
egg/lirfur,,1
Eteone longa ath,1,1
Eteone suecica ath,,
Eunoe nodosa,,
Eupolymnia nesidensis,,
Exogone hebes,,1
Exogone verrugera,6,1
Flabelligera affinis???,,
Foraminifera,,
Galathowenia oculata,2,
Gastropoda ungv,,
Gattyana cirrosa,,
Harmothoe extenuata,,
Harmothoe imbricata,2,
Harmothoe sp,,
Henricia sanguinolenta,,
Heteromastus filiformis,,
Hiatella arctica,,
Hyas araneus,,
Lanassa venusta,5,
Lepeta caeca,,
Lepidonotus squamatus,,
Levinsenia gracilis,1,
Macoma calcaria,1,1
Maldanidae sp,,
Mediomastus filiformis,2,
Mediomastus fragilis,,
Microphthalmus aberrans,2,
Moelleria costulata,,
Musculus,,
Myriochele oculata,,
Nematoda sp,16,98
Nemertea?,,
Nephtiydae sp,2,
Nereimyra punctata,,
Oligochaeta sp.,18,13
Ophiuroidea sp,,
Ophryotrocha cf Cosmetandra,1,
Orbiniidae sp,,
Ostracoda sp,,122
Pectinaria granulata,,
Philomedes globosus,,
Pholoe sp,,
Phyllodoce maculata,,
Phyllodocidae sp,,
Polycirrinae sp.,,
Polynoida ungv.,5,
Polyplacophora sp,,
Porifera sp,,
Praxillella praetermissa,12,2
Protomedeia fasciata,,
Pycnogonida sp,,
Rhodine gracilior,,
Sabellida sp,,
Scoloplos armiger,8,
Sphaerosyllis erinaceus,,
Sphaerosyllis ungv.,,
Spionidae sp.,18,2
Sternapsis scutata,3,
Syllidae sp,,
Syllis cornuta,1,
Terebellidae sp,,
Tubicoides benedi,,
Tubicoides kozloffi,22,9
Typosyllis armillaris,,
