tegund/hópur,U2C*1/8,U2C
Acarina sp,,
Ampharete acutifrons,,
Ampharete sp,,
Amphipoda sp,,
amphipoda ungv.,,
Amphitrite affinis,,
Amphitrite cirrata,,
Arctica islandica,,1
Arenicola marina,,
Aricidea suecica,1,
Ascidiacea sp,,
Astartidae borealis,,
Asteroidea,,
Axionice maculata,,
Bivalvia sp.,,
Bivalvia ungv.,,
Brada inhabilis,,
Brada villosa,,
Campanulariidae sp,,
Capitella capitata,20,356
Chaetozone setosa,2,26
Cirratulus cirratus,,
Copepoda sp,3,
Corophium bonnellii,,
Cossura longocirrata,2,
Crenella sp,,
Cumacea sp,,
Dodecaceria concharum,,
egg/lirfur,,
Eteone longa ath,,2
Eteone suecica ath,,
Eunoe nodosa,,
Eupolymnia nesidensis,,
Exogone hebes,,
Exogone verrugera,1,
Flabelligera affinis???,,
Foraminifera,,
Galathowenia oculata,,
Gastropoda ungv,,
Gattyana cirrosa,,
Harmothoe extenuata,,
Harmothoe imbricata,,
Harmothoe sp,5,3
Henricia sanguinolenta,,
Heteromastus filiformis,,
Hiatella arctica,,
Hyas araneus,,
Lanassa venusta,,
Lepeta caeca,,
Lepidonotus squamatus,,
Levinsenia gracilis,1,
Macoma calcaria,,18
Maldanidae sp,,1
Mediomastus filiformis,,
Mediomastus fragilis,,2
Microphthalmus aberrans,,1
Moelleria costulata,,
Musculus,,
Myriochele oculata,,1
Nematoda sp,,x
Nemertea?,,
Nephtiydae sp,,
Nereimyra punctata,,
Oligochaeta sp.,22,6
Ophiuroidea sp,,
Ophryotrocha cf Cosmetandra,,
Orbiniidae sp,,
Ostracoda sp,,x
Pectinaria granulata,,
Philomedes globosus,,
Pholoe sp,,
Phyllodoce maculata,,
Phyllodocidae sp,,
Polycirrinae sp.,,
Polynoida ungv.,,
Polyplacophora sp,,
Porifera sp,,
Praxillella praetermissa,,7
Protomedeia fasciata,,
Pycnogonida sp,,
Rhodine gracilior,,1
Sabellida sp,,
Scoloplos armiger,,5
Sphaerosyllis erinaceus,1,
Sphaerosyllis ungv.,,
Spionidae sp.,1,14
Sternapsis scutata,,1
Syllidae sp,,
Syllis cornuta,,1
Terebellidae sp,,
Tubicoides benedi,,
Tubicoides kozloffi,5,2
Typosyllis armillaris,,
