flokkur (class),ætt (family),Flokkun,B8A,B8B*1/8,B0A*1/8,B0A,A7B*1/8,A7B,C4C*1/8,C4C,E4A*1/8,E4A,B5C*1/8,B5C,U1C*1/4,U1C*1/8,U1C,U2C*1/8,U2C,U2B*1/8,U2B,U1A*1/8,U1A,E4C*1/8,E4C,B8C*1/8,B8C,B0C*1/8,B0C,E3B*1/2,C4B*1/8,C4B,E3B,B5B*1/8,B5B,E4B*1/8,E4B,U2A,U2A*1/8,E3D,E3A,E3A*1/8,U1B*1/8,U1B,B8A,B8A*1/4,B0B,B0B*1/8,A7A,A7A*1/8,C4A,C4A*1/8,B5A,B5A*1/4,B5A*1/8,A7C *1/8,A7C*1/2
Arachnida,,Acarina sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,1,,,,,,,,1,,
Polychaeta,Terebellida,Ampharete acutifrons,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae,Ampharete sp,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda sp,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,amphipoda ungv.,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
,,Amphitrite affinis,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amphitrite cirrata,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalvia,Arcticidae,Arctica islandica,,,,,,,1,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Arenicolidae,Arenicola marina,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Paraonidae,Aricidea suecica,,,,,,,2,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Ascidiacea,,Ascidiacea sp,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
,,Astartidae borealis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
