Flokkun,A7A,A7A*1/4,A7B,A7B*1/4,A7C ,A7C*1/4,B0A,B0A*1/4,B0B,B0B*1/4,B0C,B0C*1/4,B5A,B5A*1/4,B5B,B5B*1/4,B5C,B5C*1/4,B8A,B8A*1/4,B8B,B8B,B8B*1/4,B8C,B8C*1/4,C4A,C4A*1/4,C4B,C4B*1/4,C4C,C4C*1/4,E3A,E3A*1/4,E3B,E3B*1/4,E3C,E3C*1/4,E4A,E4A*1/4,E4B,E4B*1/4,E4C,E4C*1/4
Acarina sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmaea testudinalis,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete acutifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Ampharete sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphipoda sp,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Amphipoda ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Amphitrite affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrite cirrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,1,1,,,,,,
Anthozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Arctica islandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
Arenicola marina,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1
Aricidea suecica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Ascidiacea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astarte borealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Axionice maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,96,,96,,,,,,,
Bivalvia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brada inhabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brada villosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,
Campanulariidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitella capitata,,104,,36,,61,,,,,1,,83,,16,,57,,,,2,,31,,62,,,1,,,2,,1,,3,,3,30,,4,,,34
Caprellidae,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Chaetozone setosa,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2,,,1,3,11,,21,,13,4,,10,,,2
Cirratulus cirratus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,1,4,,,,,
Clinocardium cillaturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Collembola,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corophium bonnellii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cossura longocirrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crenella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumacea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodecaceria concharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Eteone longa ,,28,,1,,4,3,,,19,3,,42,,13,,13,,,1,,,1,,5,45,,4,,1,13,,1,,2,,6,5,,3,,,9
Eteone suecica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euchone sp.,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunoe nodosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupolymnia nesidensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exogone hebes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exogone verrugera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flabelligera affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galathowenia oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gammarus sp.,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropoda ungv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gattyana cirrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmothoe sp,,,,,,,2,,1,7,16,,,,5,,,,,,,,,,,,,2,,,3,1,21,,2,,6,,,3,,,2
Harpacticoida sp.,,2,,4,,1,,,,3,3,,6,,4,,,,,2,,,,,,2,,,,,2,,1,,,,4,,,,,,7
Henricia sanguinolenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heteromastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiatella arctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,,,,,,
Hyas araneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrozoa,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Lacuna vincta,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanassa venusta,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
Lepeta caeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidonotus squamatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levinsenia gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macoma calcarea,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,2,,,6,,3,,1,,2,,,,,,
Malacoceros fuliginosus,,,,,,1,,,,,1,,47,,9,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,3
Maldanidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediomastus filiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediomastus fragilis,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,4,,6,2,,4,,,
Microphthalmus aberrans,,,,,,1,,,,,,,2,,,,1,,,,,,2,,1,2,,,,,6,,7,,3,,17,2,,3,,,14
Moelleria costulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mya sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,
Mya juv,,,,,,,,,,,4,,1,,,,,,,,,,,,,1,,2,,,,,,,4,,,,,,,,
Mya arenaria,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,2,,,
Mya truncata,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Myriochele oculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilidae,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4,2,,,,,16,,,,,,
Mytilidae juv,,,,,,,2,,,,,,7,,2,,,,,,,,,,1,5,,8,,,,,8,,8,,,,,2,,,
Mytilus edulis,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,
Möttuldýr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,
Naineris quadricuspida,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,1,,2,,,2,,1,,,
Nemertea,,,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
Nematoda,,32,,16,,19,13,,,52,157,,28,,16,,33,,,8,,,4,,6,35,,18,,,54,,36,,27,,24,25,,30,,,39
Nephtyidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,
Nereimyra punctata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nereis pelagica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Nuculana tenuis,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Nudibranch,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligochaeta sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onoba aculeus,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Ophelina acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
Ophiuroidea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophryotrocha cosmetandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbiniidae sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostracoda,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectinaria granulata,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Pectinaria koreni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,
