Flokkun,A7A,A7A*1/4,A7B,A7B*1/4,A7C,A7C*1/4,B5A,B5A*1/4,B5B,B5B*1/4,B5C,B5C*1/4,B8A,B8A*1/4,B8B,B8B*1/4,B8C,B8C*1/4,C4A,C4A*1/4,C4B,C4B*1/4,C4C,C4C*1/4,E3A,E3A*1/4,E3B,E3B*1/4,E3C,E3C*1/4,E4A,E4A,E4B,E4B*1/4,E4C,E4C*1/4
Abra nitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acarina sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocardia echinata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acmaea testudinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete acutifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphipoda sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Amphipoda ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete acutifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrite affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrite cirrata,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Anthozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apistobranchus tullbergi,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Arctica islandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Arenicola marina,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Arenicola marina ungviði,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aricidea suecica,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Ascidiacea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astarte borealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axionice maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanus,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
Balanus nýsestir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalvia sp.,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Brada inhabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brada villosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccinum undatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardidae juv,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Campanulariidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitella capitata,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprellidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastoderma ovale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetozone setosa,,,,,,,,3,,,,1,,1,,,,,1,8,,,,5,3,2,2,5,2,3,,5,4,3,1,7
Cirratulus cirratus,,,,,,,,,,,,1,,,,,,,,,,1,,,,3,,,1,2,,,,,,
Clinocardium cillaturn skilaði engum niðurstöðum. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collembola STÖKKMOR Í SJÓ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corophium bonnellii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cossura longocirrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Cossura pygodactylata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crenella sp,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Cumacea sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycloterus lumpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodecaceria concharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexamine thea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ennucula tenuis,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,
Eteone longa ,,1,2,,,,,,1,1,1,1,,,2,,,1,5,,1,11,,,1,,,2,1,2,,,,1,,4
Eteone suecica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euchone sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Eunoe nodosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupolymnia nesidensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exogone hebes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exogone ver(r)ugera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flabelligera affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Galathowenia oculata,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Gammarus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropoda ungv,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,2,,,,,,
Gattyana cirrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
