Flokkun,N,skipting,ath
Skordýr,1,1/4,mynd í othekkt 3
Polychaeta,1,1,mynd í othekkt 2
Polychaeta,1,1,mynd í othekkt 1
Ophelina acuminata,8,1,
Götungar,2,1,
Polydora sp,3,1,
Maldanidae sp,1,1,
Heteromastus filiformis,2,1,
Pygospio elegans,1,1/4,eða Spio filicornis
Ophelina acuminata,8,1/4,
Scalibregma inflatum,3,1/4,
Maldanidae,7,1/4,
Scoloplos armiger,5,1/4,
Polydora sp,2,1/4,
Heteromastus filiformis,5,1/4,
Cossura longocirrata,1,1/4,
Götungar,6,1/4,
Macoma calcarea,1,1/4,
Capitella capitata,1,1/4,"óviss, kannski Mediomastus fragilis"
Paraonidae,1,4,"óviss, illa farið"
