Flokkun,N,skipting,ath
Ophelina acuminata,23,1,
Pectinaria koreni,1,1,
Spio filicornis,1,1,
Foraminifera,11,1,óviss
ostracoda,4,1,einn kraminn
Polydora,13,1,
Praxillella praetermissa,3,1,
Maldanidae,2,1,
Leaena ebranchiata,1,1,óviss með tegund en ekki family
ostracoda,3,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
harpacticoida,3,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
Foraminifera,2,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
rækjulirfa,1,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
lirfur,9,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
priapulidae,1,¼,
Ophelina acuminata,1,¼,
Scoloplos armiger,1,¼,
Polydora,14,¼,
Heteromastus filiformis,7,¼,"óviss, kannski einn mediomastus fragilis. Best að hafa þetta family (Capitellidae)"
Aricidea,2,¼,suecica (flokkaði sem Aricidea catherinae en bakka í genus)
Maldanidae,2,¼,Vantar afturenda (setti nokkra afturenda í túbuna)
Lanassa venusta,1,¼,
Nemertea,4,¼,óviss
Cossura longocirrata,1,¼,óviss
Dorvilleidae,1,¼,
Sabellidae,1,¼,
Nematoda,2,¼,óviss
Spionida,4,¼,
Bivalvia,2,4,
Nuculana pernula,1,4,
Macoma calcarea,7,4,
Mya arenaria,8,4,
Arctica islandica,2,4,
Parvicardium minimum,1,4,
