Flokkun,N,skipting,ath
Ophelina acuminata,23,1,
Scalibregma inflatum,1,1,stór
Polydora,14,1,
Maldanidae,3,1,
Nematoda,5,1,
Ostracoda,2,1,
Heteromastus filiformis,3,1,
Nemertea sp,6,1,
Polychaeta sp,2,1,
lirfurOgDrasl,9,1,Einn stór og illa farinn í öðru glasi
Spionidae sp,3,1,illa farinn
Ophelina acuminata,4,¼,
Bivalvia,2,¼,
Sphaerodoropsis minuta,1,¼,
Pholoe sp,2,¼,
Eteone longa,2,¼,
Amphipoda,3,¼,
Ostracoda,6,¼,
Pectinariidae sp,1,¼,
Lumbrineridae sp,1,¼,
Aricidea suecica,1,¼,
Heteromastus filiformis,4,¼,
Capitellidae,1,¼,
Maldanidae,2,¼,
Spionida sp,1,¼,illa farinn
Oligochaeta sp,1,¼,augu Kannski maldanidae með augu
Polydora,1,¼,
Maldanidae,1,¼, með augu
Scoloplos armiger,1,1,
Praxillella praetermissa,1,1,Tveir afturendar að auki
Oligochaeta sp,1,1,augu Kannski maldanidae með augu
Harpacticoida sp,4,¼,
Nematoda,4,¼,
Priapulidae sp,1,¼,
lirfurOgDrasl,7,¼,
Macoma calcarea,6,4,
Mya arenaria,12,4,
Arctica islandica,5,4,
Ennucula tenuis,3,4,
Nuculana pernula,7,4,
Parvicardium minimum,1,4,
