Flokkun,N,skipting,ath
Abra nitida,,,
Abra prismatica,1,4,
Acanthocardia tuberculata,,,
Amphipoda,1,4,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,1,1,
Aricidea suecica,4,4,
Balanus balanus,,,
Bivalvia,,,
Campanulariidae,,,
Capitella capitata,,,
Capitellidae,,,
Chaetozone setosa,4,4,
Chaetozone setosa,,,
Cirratulidae,3,4,juv
Cirratulus cirratus,,,
Cossura longocirrata,,,
Cossuridae,,,
Crassicorophium bonellii,,,
Cumacea,,,
Eteone longa,1,4,
Eteone longa,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,,,
Harmothoe imbricata,,,
Harmothoe imbricata,,,
Harmothoe nodosa,,,
Harpacticoida sp,3,4,
Harpacticoida sp,,,
Heteromastus filiformis,2,4,
Heteromastus filiformis,,,
Hialella arctica,,,
Kurtiella bidentata,,,var montacuta bidentata
Leda minuta,,,Nuculana ’ dag
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcarea,,,
Macoma calcarea,18,4,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Mediomastus fragilis,,,
Microphthalmus aberrans,1,4,
Mya arenaria,,,
Mytilidae,2,4,
Nematoda,41,4,rœmlega
Nematoda,,,
Nemertea sp,,,
Nemertea sp,,,
Nephtys,1,1,
Nuculana minuta,1,4,
Nuculana pernula,1,4,
Oligochaeta sp,9,4,
Oligochaeta sp,2,1,
Ophelina acuminata,,,
Ophelina acuminata,21,4,
Ophiuroidea,,,
Orbiniidae,,,
Ostracoda,,,
Ostracoda,,,
—ßekkt,8,4,
—ßekkt,,,
Paraonidae ,,,
Pectinaria granulata,,,
Pectinaria hyperborea,,,
Pectinariidae sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Platyhelminthes,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,1,4,
Polydora,,,
Polynoidae,,,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,1,4,
Priapulidae sp,1,1,Sennilega alltaf Priapulus caudatus en Priapulus er meÝ AMBI
Protomedeia fasciata,,,
Pygospio elegans,,,
Scalibregma inflatum,2,4,
Scalibregma inflatum,,,
Scoloplos armiger,1,1,
Scoloplos armiger,11,4,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
Sphaerosyllis,,,
spio,,,
Spionidae sp,1,1,
Spionidae sp,2,4,
Syllidae,,,
Terebellinae,,,
Tubificoides kozloffi,,,
