Flokkun,N,skipting,ath
Abra nitida,,,
Abra prismatica,,,
Acanthocardia tuberculata,,,
Amphipoda,1,4,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Aricidea suecica,,,
Balanus balanus,,,
Bivalvia,,,
Campanulariidae,,,
Capitella capitata,,,
Capitellidae,,,
Chaetozone setosa,3,4,
Chaetozone setosa,,,
Cirratulidae,1,4,
Cirratulus cirratus,,,
Cossura longocirrata,,,
Cossuridae,,,
Crassicorophium bonellii,,,
Cumacea,,,
Eteone longa,,,
Eteone longa,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,,,
Harmothoe imbricata,,,
Harmothoe imbricata,,,
Harmothoe nodosa,,,
Harpacticoida sp,13,4,
Harpacticoida sp,,,
Heteromastus filiformis,,,
Heteromastus filiformis,,,
Hialella arctica,,,
Kurtiella bidentata,2,4,
Leda minuta,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcarea,15,4,Ein kramin
Macoma calcarea,,,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Mediomastus fragilis,7,4,
Microphthalmus aberrans,,,
Mya arenaria,,,
Mytilidae,,,
Nematoda,13,4,
Nematoda,,,
Nemertea sp,3,4,
Nemertea sp,,,
Nephtyidae,1,1,
Nephtys,,,Nephtyidae
Nuculana minuta,,,
Nuculana pernula,1,4,
Oligochaeta sp,,,
Oligochaeta sp,,,
Ophelina acuminata,1,1,
Ophelina acuminata,52,4,
Ophiuroidea,,,
Orbiniidae,,,
Ostracoda,,,
Ostracoda,,,
Óþekkt,14,4,
Paraonidae ,,,
Pectinaria granulata,,,
Pectinaria hyperborea,,,
Pectinariidae sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Platyhelminthes,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,,,
Polydora,,,
Polynoidae,,,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Priapulidae sp,,,
Protomedeia fasciata,,,
Pygospio elegans,,,
Scalibregma inflatum,1,4,
Scalibregma inflatum,,,
Scoloplos armiger,16,4,
Scoloplos armiger,,,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
Sphaerosyllis,,,
spio,,,
Spionidae sp,2,4,
Spionidae sp,,,
Syllidae,,,
Terebellidae,1,4,
Tubificoides kozloffi,,,
