Flokkun,N,skipting,ath
Abra nitida,,,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Aricidea suecica,1,0.25,
Bivalvia,2,0.25,
Capitellidae,,,
Chaetozone setosa,8,0.25,einn mjšg sm‡r
Cirratulidae,,,
Corophium bonnellii,,,
Cossuridae,2,0.25,
Cumacea,,,
Etone longa,,,
Eteone longa,1,0.25,
Foraminifera,,,
Foraminifera,,,
Harpacticoida sp,1,0.25,
Heteromastus filiformis,5,0.25,
Heteromastus filiformis,,,
Nuculana minuta,1,0.25,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcarea,,,
Macoma calcarea,7,0.25,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Microphthalmus aberrans,,,
Mya arenaria,,,
Nematoda,,,
Nematoda,,,
Nematoda,2,0.25,
Nemertea sp,,,
Nemertea sp,,,
Oligochaeta sp,1,1,
Oligochaeta sp,1,0.25,
Ophelina acuminata,1,1,
Ophelina acuminata,22,0.25,
Ostracoda,,,
Ostracoda,,,
Ostracoda,,,
Pectinariidae sp,,,
Pholoe sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,,,
Polydora,6,0.25,
Polynoidae,1,0.25,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Scalibregma inflatum,4,0.25,
Scalibregma inflatum,1,1,
Scoloplos armiger,,,
Scoloplos armiger,,,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
spio,,,
Spionidae sp,1,1,
Spionidae sp,38,0.25,
Syllidae,,,
Terebellinae,,,
Pygospio elegans,1,0.25,
