Flokkun,N,skipting,ath
Amphipoda,6,¼,
Aricidea suecica,1,¼,
Bivalvia,3,1,
Capitellidae,,,
Cumacea,1,¼,
Eteone longa,4,¼,
Foraminifera,1,¼,
Harpacticoida sp,5,¼,
Heteromastus filiformis,3,¼,
Heteromastus filiformis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,1,4,"í glasi merktu ""drasl"""
Lumbrineridae sp,,,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Nematoda,,,
Nematoda,14,¼,
Nemertea sp,3,¼,"í glasi merktu ""drasl"""
Nemertea sp,,,
Oligochaeta sp,13,¼,
Oligochaeta sp,,,
Ophelina acuminata,25,¼,
Ophelina acuminata,,,
Ostracoda,3,¼,"í glasi merktu ""drasl"""
Ostracoda,,,
Pectinariidae sp,,,
Pholoe sp,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,23,¼,
Polydora,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Scalibregma inflatum,4,¼,
Scalibregma inflatum,,,
Scoloplos armiger,3,¼,
Scoloplos armiger,,,
Sphaerodoropsis minuta,,,
Spionidae sp,36,¼,"eitthvað polydora (ekki viss, stendur týnt úr sýni og ¼)"
Spionidae sp,1,¼,
Microphthalmus aberrans,7,¼,
Chaetozone setosa,3,¼,
Terebellidae,3,¼,
Levinsenia gracilis,1,¼,
Phyllodocida,1,¼,tæpur
Sipuncula,1,¼,
Macoma calcarea,14,1,"ekki viss, stendur týnt úr sýni og ¼"
Terebelliformia,1,1,juv
Abra prismatica,,,
Abra nitida,1,1,
