"id","Flokkun","N","skipting","ath","alls"
"A7A","Skordýr",1,"4","mynd í othekkt 3",4
"A7A","Polychaeta",1,"1","mynd í othekkt 2",1
"A7A","Polychaeta",1,"1","mynd í othekkt 1",1
"A7A","Ophelina acuminata",8,"1",NA,8
"A7A","Götungar",2,"1",NA,2
"A7A","Polydora sp",3,"1",NA,3
"A7A","Maldanidae sp",1,"1",NA,1
"A7A","Heteromastus filiformis",2,"1",NA,2
"A7A","Pygospio elegans",1,"4","eða Spio filicornis",4
"A7A","Ophelina acuminata",8,"4",NA,32
"A7A","Scalibregma inflatum",3,"4",NA,12
"A7A","Maldanidae",7,"4",NA,28
"A7A","Scoloplos armiger",5,"4",NA,20
"A7A","Polydora sp",2,"4",NA,8
"A7A","Heteromastus filiformis",5,"4",NA,20
"A7A","Cossura longocirrata",1,"4",NA,4
"A7A","Götungar",6,"4",NA,24
"A7A","Bivalvia",5,"4",NA,20
"A7A","Capitella capitata",1,"4","óviss, kannski Mediomastus fragilis",4
"A7A","Paraonidae",1,"4","óviss, illa farið",4
"A7B","Ophelina acuminata",5,"1","http://species-identification.org/species.php?species_group=macrobenthos_polychaeta&id=746&menuentry=soorten",5
"A7B","Scalibregma inflatum",3,"1",NA,3
"A7B","Polydora",1,"1",NA,1
"A7B","Ranaormur",2,"1","óviss",2
"A7B","Heteromastus filiformis",1,"1","óviss",1
"A7B","Capitella capitata",3,"1","óviss",3
"A7B","Ophelina acuminata",6,"4",NA,24
"A7B","Scoloplos armiger",3,"4",NA,12
"A7B","Capitella capitata",1,"4",NA,4
"A7B","Scalibregma inflatum",6,"4",NA,24
"A7B","Polydora sp.",4,"4",NA,16
"A7B","Nemertea",1,"4",NA,4
"A7B","Cossura longocirrata",4,"4",NA,16
"A7B","Corophium bonnellii",1,"4",NA,4
"A7B","Amphipoda sp",1,"4",NA,4
"A7B","Polydora antennata",1,"4",NA,4
"A7B","Hydrozoa",2,"4",NA,8
"A7B","Heteromastus filiformis",9,"4",NA,36
"A7B","Microphthalmus aberrans",1,"4",NA,4
"A7B","Aricidea suecica",1,"4",NA,4
"A7B","Spionida sp.",1,"4",NA,4
"A7B","Götungar",25,"4",NA,100
"A7C","Bandormur",1,"1","óviss",1
"A7C","Bivalve lirfa",1,"1","óviss",1
"A7C","Skeljar",3,"1",NA,3
"A7C","Götungar",2,"1",NA,2
