Flokkun,A7A,A7A*1/4,A7B,A7B*1/4,A7C,A7C*1/4,B5A,B5A*1/4,B5B,B5B*1/4,B5C,B5C*1/4,B8A,B8A*1/4,B8B,B8B*1/4,B8C,B8C*1/4,C4A,C4A*1/4,C4B,C4B*1/4,C4C,C4C*1/4,E3A,E3A*1/4,E3B,E3B*1/4,E3C,E3C*1/4,E4A,E4A*1/4,E4B,E4B*1/4,E4C,E4C*1/4
Abra nitida,,,,3,,5,,3,,10,,5,,9,,3,,5,,3,,2,,3,,,,,,,,1,,5,,4
Acarina sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthocardia echinata,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Acmaea testudinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete acutifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete sp,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Amphipoda sp,,,,,,,,,,,,,,3,,,,,,1,,,,,,1,,1,,,1,1,,1,,
Amphipoda ungv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Ampharete acutifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Amphitrite affinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrite cirrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Anthozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apistobranchus tullbergi,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
Arctica islandica,,,,,,1,,,,1,,,,2,,2,,1,,,,,,,,,,,,1,,1,,2,,3
Arenicola marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenicola marina ungviði,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
