Survey Name,Year,Data Owner,Contact,Number of samples
Area 457 Regional Seabed Monitoring Plan 2019,2019,Boskalis Westminster,Data Owner,18
Area X 2007,2007,"Centre for Environment, Fisheries and Aquaculture Science (CEFAS)",Data Owner,6
Bedwyn Sands and North Middle Ground RSMP 2017,2017,Severn Sands Limited,Data Owner,64
BEEMS WP2 Hinkley Point Q2 2009,2009,EDF Energy,Data Owner,29
BEEMS WP5 Hinkley Point Infauna,2009,EDF Energy,Data Owner,13
Dutch long term monitoring of macrobenthos in the Dutch Continental Economical Zone of the North Sea,1991 - 2015,Rijkswaterstaat,https://www.eurobis.org/,2196
EAOWF,2010/2011,East Anglia Offshore Wind Limited,Data Owner,643
East Anglia 3 & 4 Offshore Cable Corridor Benthic Characterisation Survey 2013,2013,East Anglia Offshore Wind Limited,Data Owner,49
Farnes East MCZ 2018_MPAFRNE2018,2018,"Department for Environment, Food and Rural Affairs (DEFRA)",Data Owner,208
Greater Gabbard Offshore Wind Farm Year 1 (2013) Post-Construction Benthic Monitoring,2013,Greater Gabbard Offshore Winds Limited,Data Owner,144
Gunfleet Sands Offshore Wind Farm Year 2 (2011) Post-Construction Benthic Monitoring,2011,Gunfleet Sands Limited,Data Owner,87
Gunfleet Sands Offshore Wind Farm Year 3 (2012) Post-Construction Benthic Monitoring,2012,Gunfleet Sands Limited,Data Owner,87
Hinkely point 108 benthos survey (BEEMS-WP2),2008,EDF Energy,Data Owner,31
Hinkely point 208 benthos survey (BEEMS-WP2),2008,EDF Energy,Data Owner,34
Hinkely point 308 benthos survey (BEEMS-WP2),2008,EDF Energy,Data Owner,37
Hinkely point 408 benthos survey (BEEMS-WP2),2008,EDF Energy,Data Owner,34
Hinkley Point 510 benthic survey (WP2-BEEMS),2010,EDF Energy,Data Owner,38
Hinkley Point benthos survey Feb 2010 (BEEMS-WP2),2010,EDF Energy,Data Owner,8
Hinkley Point benthos survey June 2011 (BEEMS-WP2),2011,EDF Energy,Data Owner,41
Hywind Offshore Windfarm Characterisation Survey 2013,2013,Statoil,Data Owner,24
Macrobenthos from the Norwegian waters,2000-2001,Akvaplan-niva,https://www.eurobis.org/,293
"Macrobenthos monitoring at long-term monitoring locations, period 2001-ongoing",2001-2017,"Flanders Research Institute for Agriculture, Fisheries and Food (ILVO)",https://www.eurobis.org/,1297
Macrozoobenthos data from the southeastern North Sea in 2000,2000-2002,AWI/Senckenberg,https://www.eurobis.org/,342
Median Deep 1999,1999,Volker Dredging Limited,Data Owner,89
MPAFORTH2011,2011,Joint Nature Conservation Committee (JNCC),Data Owner,96
Norfolk Vanguard Benthic Characterisation Survey 2016,2016,Vattenfall Norfolk Vanguard Offshore Wind Farm,Data Owner,65
Utopia MCZ 2016_MPAUTPA2016,2016,"Department for Environment, Food and Rural Affairs (DEFRA)",Data Owner,40
