"station","year","species","original_total_count","adjusted_total_count","n_samples","total_area","original_density","adjusted_density"
"A7",1999,"Abra nitida",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Ampharetinae",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Chaetozone setosa",4,4,1,0.0225,177.777777777778,177.777777777778
"A7",1999,"Cossura longocirrata",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Ennucula tenuis",7,7,1,0.0225,311.111111111111,311.111111111111
"A7",1999,"Eteone longa",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Lanassa venusta",3,3,1,0.0225,133.333333333333,133.333333333333
"A7",1999,"Ophelina acuminata",2,2,1,0.0225,88.8888888888889,88.8888888888889
"A7",1999,"Pectinaria granulata",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Praxillella praetermissa",2,2,1,0.0225,88.8888888888889,88.8888888888889
"A7",1999,"Protomedeia fasciata",7,7,1,0.0225,311.111111111111,311.111111111111
"A7",1999,"Scalibregma inflatum",2,2,1,0.0225,88.8888888888889,88.8888888888889
"A7",1999,"Schistomeringos nigridentata",2,2,1,0.0225,88.8888888888889,88.8888888888889
"A7",1999,"Scoloplos armiger",2,2,1,0.0225,88.8888888888889,88.8888888888889
"A7",1999,"Spio",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Sternaspis scutata",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",1999,"Terebellides stroemi",1,1,1,0.0225,44.4444444444444,44.4444444444444
"A7",2013,"Capitella capitata",17,24,2,0.08,212.5,300
"A7",2014,"Capitella capitata",201,804,3,0.12,1675,6700
"A7",2014,"Eteone longa",33,132,3,0.12,275,1100
"A7",2014,"Malacoceros fuliginosus",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2014,"Microphthalmus aberrans",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2014,"Spionidae",2,8,3,0.12,16.6666666666667,66.6666666666667
"A7",2015,"Aricidea suecica",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2015,"Crenella",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2015,"Eteone longa",3,6,3,0.12,25,50
"A7",2015,"Macoma calcarea",11,44,3,0.12,91.6666666666667,366.666666666667
"A7",2015,"Mediomastus fragilis",9,36,3,0.12,75,300
"A7",2015,"Microphthalmus aberrans",3,12,3,0.12,25,100
"A7",2015,"Mya arenaria",4,16,3,0.12,33.3333333333333,133.333333333333
"A7",2015,"Nepthys",1,1,3,0.12,8.33333333333333,8.33333333333333
"A7",2015,"Ophelina acuminata",2,8,3,0.12,16.6666666666667,66.6666666666667
"A7",2015,"Pectinaria koreni",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2015,"Polydora",13,22,3,0.12,108.333333333333,183.333333333333
"A7",2015,"Scalibregma inflatum",2,5,3,0.12,16.6666666666667,41.6666666666667
"A7",2015,"Scoloplos armiger",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2015,"Sphaerosyllis erinaceus",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2015,"Spionidae",2,5,3,0.12,16.6666666666667,41.6666666666667
"A7",2016,"Ampharetidae",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Amphipoda",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Arctica islandica",3,12,3,0.12,25,100
"A7",2016,"Aricidea suecica",4,16,3,0.12,33.3333333333333,133.333333333333
"A7",2016,"Bivalvia",3,3,3,0.12,25,25
"A7",2016,"Capitella capitata",5,11,3,0.12,41.6666666666667,91.6666666666667
"A7",2016,"Capitellidae",3,12,3,0.12,25,100
"A7",2016,"Cardiidae",1,1,3,0.12,8.33333333333333,8.33333333333333
"A7",2016,"Chaetozone setosa",1,1,3,0.12,8.33333333333333,8.33333333333333
"A7",2016,"Cossura longocirrata",6,24,3,0.12,50,200
"A7",2016,"Crassicorophium bonellii",2,8,3,0.12,16.6666666666667,66.6666666666667
"A7",2016,"Eteone longa",1,1,3,0.12,8.33333333333333,8.33333333333333
"A7",2016,"Heteromastus filiformis",30,111,3,0.12,250,925
"A7",2016,"Macoma calcarea",11,41,3,0.12,91.6666666666667,341.666666666667
"A7",2016,"Maldanidae",19,49,3,0.12,158.333333333333,408.333333333333
"A7",2016,"Microphthalmus aberrans",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Mya arenaria",14,35,3,0.12,116.666666666667,291.666666666667
"A7",2016,"Ophelina acuminata",68,146,3,0.12,566.666666666667,1216.66666666667
"A7",2016,"Paraonidae",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Polychaeta",1,1,3,0.12,8.33333333333333,8.33333333333333
"A7",2016,"Polydora",31,76,3,0.12,258.333333333333,633.333333333333
"A7",2016,"Pseudopolydora antennata",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Scalibregma inflatum",19,58,3,0.12,158.333333333333,483.333333333333
"A7",2016,"Scoloplos armiger",12,48,3,0.12,100,400
"A7",2016,"Serripes groenlandicus",2,5,3,0.12,16.6666666666667,41.6666666666667
"A7",2016,"Spio",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Spionida",1,4,3,0.12,8.33333333333333,33.3333333333333
"A7",2016,"Spionidae",2,2,3,0.12,16.6666666666667,16.6666666666667
"A7",2016,"Syllis",1,4,3,0.12,8.33333333333333,33.3333333333333
