"station","year","species","original_total_count","adjusted_total_count","n_samples","total_area","original_density","adjusted_density","density_difference","density_ratio"
"A7",1999,"Abra nitida",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Ampharetidae",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Chaetozone setosa",4,4,1,0.0225,177.777777777778,177.777777777778,0,1
"A7",1999,"Cossura longocirrata",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Ennucula tenuis",7,7,1,0.0225,311.111111111111,311.111111111111,0,1
"A7",1999,"Eteone longa",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Lanassa venusta",3,3,1,0.0225,133.333333333333,133.333333333333,0,1
"A7",1999,"Ophelina acuminata",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Pectinaria granulata",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Praxillella praetermissa",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Protomedeia fasciata",7,7,1,0.0225,311.111111111111,311.111111111111,0,1
"A7",1999,"Scalibregma inflatum",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Schistomeringos nigridentata",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Scoloplos armiger",2,2,1,0.0225,88.8888888888889,88.8888888888889,0,1
"A7",1999,"Spio",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Sternaspis scutata",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",1999,"Terebellides stroemii",1,1,1,0.0225,44.4444444444444,44.4444444444444,0,1
"A7",2013,"Capitella capitata",17,24,2,0.08,212.5,300,87.5,1.41176470588235
"A7",2014,"Capitella capitata",201,804,3,0.12,1675,6700,5025,4
"A7",2014,"Eteone longa",33,132,3,0.12,275,1100,825,4
"A7",2014,"Malacoceros fuliginosus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2014,"Microphthalmus aberrans",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2014,"Spio",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"A7",2015,"Aricidea suecica",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Crenella decussata",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Eteone longa",3,6,3,0.12,25,50,25,2
"A7",2015,"Macoma calcarea",11,44,3,0.12,91.6666666666667,366.666666666667,275,4
"A7",2015,"Mediomastus fragilis",9,36,3,0.12,75,300,225,4
"A7",2015,"Microphthalmus aberrans",3,12,3,0.12,25,100,75,4
"A7",2015,"Mya arenaria",4,16,3,0.12,33.3333333333333,133.333333333333,100,4
"A7",2015,"Nepthys",1,1,3,0.12,8.33333333333333,8.33333333333333,0,1
"A7",2015,"Ophelina acuminata",2,8,3,0.12,16.6666666666667,66.6666666666667,50,4
"A7",2015,"Pectinaria koreni",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Polydora",13,22,3,0.12,108.333333333333,183.333333333333,75,1.69230769230769
"A7",2015,"Scalibregma inflatum",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
"A7",2015,"Scoloplos armiger",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Sphaerosyllis erinaceus",1,4,3,0.12,8.33333333333333,33.3333333333333,25,4
"A7",2015,"Spio",2,5,3,0.12,16.6666666666667,41.6666666666667,25,2.5
