"species","A7_1999","B5_1999","B8_1999","C4_1999","E3_1999","E4_1999","A7_2013","B5_2013","B8_2013","C4_2013","E3_2013","E4_2013","A7_2014","B5_2014","B8_2014","C4_2014","E3_2014","E4_2014","A7_2015","B5_2015","B8_2015","C4_2015","E3_2015","E4_2015","A7_2016","B5_2016","B8_2016","C4_2016","E3_2016","E4_2016","A7_2017","B5_2017","B8_2017","C4_2017","E3_2017","E4_2017"
"Abra nitida","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","","40","","4","5","32","72","68","32","","40"
"Abra prismatica","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
"Acanthocardia echinata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Acanthocardia tuberculata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","",""
"Acarina","","","","","","","","8","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ampharetidae","1","4","1","4","14","","","","","","","","","","","","1","","","","","","","","4","","","","","","","","4","","4","8"
"Amphipoda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","4","8","9"
"Amphitrite cirrata","","","","","","","","","","","","","","","","","11","","","","","","1","","","","8","","1","","","","","","1",""
"Anthozoa","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Apistobranchus tullbergi","","4","1","","5","3","","","","","","","","","","","","","","","","","4","4","","","","","","","","","4","","8",""
"Arctica islandica","","4","9","","3","","","","","8","","","","","","1","1","","","","","","","4","12","4","48","1","4","8","4","4","20","","4","24"
"Arenicola marina","","","","","","","","","","","","","","","","2","","4","","","","1","","","","","","","","","","","","","",""
"Aricidea suecica","","","","","","4","","","","17","8","","","","","","8","","4","","","","","4","20","12","4","16","24","5","12","20","","4","4","12"
"Astarte","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Asteroidea","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","4"
"Balanus","","","","","","","","","","","","","","","","","364","","","","","100","","","","","","","","1","","","","","","4"
"Bryozoa","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","",""
"Buccinum undatum","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
"Campanulariidae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","",""
"Capitella capitata","","","","","","","24","1247","343","914","2877","2530","804","156","374","9","28","170","","4","","","","","23","4","4","","4","5","","","","","",""
"Caprella septemtrionalis","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","",""
"Caprella septentrionalis","","","","2","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Cardiidae","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Chaetozone setosa","4","39","7","2","6","5","","","","35","120","","","1","","7","183","22","","16","4","53","47","50","1","40","","48","37","38","28","24","20","96","24","8"
"Ciliatocardium ciliatum ciliatum","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
"Cirratulus cirratus","","","","","1","","","","","","","","","1","","4","8","4","","4","","4","21","","","4","","16","1","6","","","","","4",""
"Cistenides granulata","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","4","","","","","","",""
"Cossura longocirrata","1","","29","","14","","","","","","1","","","","","","","","","","","","","8","24","20","4","","16","","4","16","12","","4",""
"Cossura pygodactylata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","24"
"Crassicorophium bonellii","","","","","8","2","","","","","1","","","","","","","","","","","","","","8","","","","20","8","8","","4","","32","100"
"Crenella decussata","","","2","","1","","","","","","","","","","","","","","4","","","4","","","","","","","","","","","","","",""
"Cumacea","","","2","12","27","1","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","4"
"Dexamine thea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",""
"Dodecaceria concharum","","8","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","",""
"Dorvilleidae","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","",""
"Ennucula tenuis","7","32","25","10","5","1","","","","","","","","1","","2","","","","12","","","4","","","32","24","","","","","4","","4","4",""
"Eteone longa","1","","2","","3","1","","","8","17","13","","","","","","","","","","","","","","1","","8","20","5","55","","","","","",""
"Eteone longa ","","","","","","","","","","","","","132","68","28","102","36","44","6","10","6","50","18","20","","","","","","","8","12","","24","9","33"
"Euchone","","","","","","","","","","","","","","1","","","","","","","","","","8","","","","","","","","","","","4",""
"Eunoe nodosa","","","","","","","","","","10","6","","","","","","","","","","","","","","","","","","","12","","","","","",""
"Flabelligera affinis","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","4",""
"Galathowenia oculata","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","4"
"Gattyana cirrhosa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","",""
"Gibbula tumida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"Glycera capitata","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
"Harmothoe extenuata","","","","","","","","","","24","25","","","5","","14","117","11","","","","4","49","9","","","","","","","8","","","4","26","16"
"Harmothoe imbricata","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","12","13","","","","","",""
"Heteromastus filiformis","","","","","20","1","","","","","","","","","","","","","","","","","","","111","44","77","16","32","44","","","","","4",""
"Hiatella arctica","","","","","","","","","","","","","","","","","17","","","","","","18","","","","","","4","4","","","","","5","16"
"Kurtiella bidentata","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","",""
"Lagis koreni","","","","","","","","","","","","","","","","4","8","","4","2","2","4","4","","","","1","","","","","8","","10","",""
